respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.11,0.33
26708,0.02,0.01
26709,0.48,0.88
26710,0.55,0.85
26711,0.38,0.57
26712,0.6,0.88
26713,0.42,0.52
26714,0.17,0.08
26715,0.01,0.05
26716,0.11,0.91
26717,0.09,0.51
26718,0.16,0.64
26719,0.14,0.86
26720,0.03,0.31
26721,0.65,0.62
26722,0.08,0.15
26723,0.55,0.79
26724,0.01,0.8
26725,0.07,0.16
26726,0.16,0.17
26727,0.41,0.91
26728,0.26,0.48
26729,0.07,0.4
26730,0.08,0.25
26731,0.1,0.31
26732,0.12,0.17
26733,0.91,0.96
26734,0.71,0.44
26735,0.18,0.4
26736,0.08,0.22
26737,0.07,0.09
26738,0.6,0.84
26739,0.07,0.12
26740,0.32,0.16
26741,0.2,0.88
26742,0.14,0.45
26743,0.02,0.36
26744,0.12,0.73
26745,0.15,0.78
26746,0.16,0.16
26747,0.16,0.2
26748,0.16,0.14
26749,0.11,0.67
26750,0.87,0.94
26751,0.26,0.78
26752,0.12,0.24
26753,0.12,0.32
26754,0.24,0.45
26755,0.09,0.43
26756,0.01,0.09
26757,0.47,0.79
26758,0.42,0.78
26759,0.02,0.11
26760,0.06,0.16
26761,0.29,0.62
26762,0.13,0.72
26763,0.69,0.94
26764,0.78,0.96
26765,0.26,0.56
26766,0.09,0.1
26767,0.79,0.78
26768,0.16,0.51
26769,0.16,0.28
26770,0.27,0.51
26771,0.1,0.4
26772,0.1,0.6
26773,0.1,0.42
26774,0.13,0.46
26775,0.05,0.61
26776,0.42,0.38
26777,0.16,0.75
26778,0.2,0.26
26779,0.15,0.69
26780,0.26,0.9
26781,0.23,0.37
26782,0.04,0.31
26783,0.09,0.2
26784,0.42,0.92
26785,0.25,0.33
26786,0.05,0.22
26787,0.09,0.6
26788,0.06,0.85
26789,0.06,0.24
26790,0.02,0.27
26791,0.04,0.11
26792,0.24,0.7
26793,0.15,0.99
26794,0.73,0.87
26795,0.15,0.89
26796,0.0,0.01
26797,0.2,0.63
26798,0.4,0.21
26799,0.47,0.17
26800,0.05,0.92
26801,0.23,0.34
26802,0.09,0.26
26803,0.01,0.07
26804,0.05,0.14
26805,0.14,0.16
26806,0.06,0.95
26807,0.49,0.88
26808,0.33,0.46
26809,0.7,0.3
26810,0.04,0.18
26811,0.03,0.16
26812,0.26,0.81
26813,0.5,0.49
26814,0.08,0.64
26815,0.01,0.0
26816,0.14,0.32
26817,0.17,0.76
26818,0.19,0.26
26819,0.2,0.17
26820,0.16,0.24
26821,0.14,0.61
26822,0.35,0.77
26823,0.32,0.4
26824,0.07,0.7
26825,0.45,0.73
26826,0.15,0.73
26827,0.06,0.28
26828,0.21,0.49
26829,0.54,0.89
26830,0.23,0.82
26831,0.3,0.89
26832,0.16,0.9
26833,0.06,0.62
26834,0.31,0.6
26835,0.53,0.86
26836,0.2,0.61
26837,0.14,0.09
26838,0.02,0.59
26839,0.27,0.38
26840,0.11,0.19
26841,0.54,0.69
26842,0.02,0.12
26843,0.14,0.04
26844,0.09,0.45
26845,0.06,0.87
26846,0.07,0.82
26847,0.45,0.16
26848,0.17,0.76
26849,0.35,0.42
26850,0.66,0.61
26851,0.0,0.02
26852,0.03,0.07
26853,0.54,0.41
26854,0.05,0.12
26855,0.57,0.9
26856,0.32,0.15
26857,0.43,0.39
26858,0.2,0.59
26859,0.06,0.12
26860,0.33,0.21
26861,0.04,0.06
26862,0.14,0.3
26863,0.25,0.59
26864,0.44,0.44
26865,0.06,0.03
26866,0.07,0.78
26867,0.13,0.17
26868,0.68,0.81
26869,0.13,0.31
26870,0.73,0.89
26871,0.01,0.12
26872,0.19,0.44
26873,0.19,0.72
26874,0.03,0.24
26875,0.61,0.83
26876,0.15,0.07
26877,0.29,0.26
26878,0.39,0.44
26879,0.07,0.05
26880,0.22,0.29
26881,0.03,0.07
26882,0.01,0.12
26883,0.07,0.19
26884,0.11,0.16
26885,0.28,0.67
26886,0.19,0.88
26887,0.42,0.86
26888,0.96,0.96
26889,0.02,0.11
26890,0.3,0.43
26891,0.69,0.91
26892,0.21,0.67
26893,0.02,0.1
26894,0.14,0.25
26895,0.1,0.77
26896,0.02,0.01
26897,0.1,0.53
26898,0.27,0.51
26899,0.12,0.04
26900,0.09,0.29
26901,0.16,0.42
26902,0.13,0.88
26903,0.23,0.26
26904,0.07,0.39
26905,0.49,0.82
26906,0.1,0.49
26907,0.02,0.72
26908,0.16,0.85
26909,0.19,0.17
26910,0.27,0.38
26911,0.06,0.13
26912,0.38,0.76
26913,0.79,0.85
26914,0.08,0.29
26915,0.33,0.82
26916,0.29,0.25
26917,0.06,0.17
26918,0.94,1.0
26919,0.23,0.46
26920,0.03,0.16
26921,0.09,0.82
26922,0.05,0.75
26923,0.16,0.67
26924,0.77,0.96
26925,0.05,0.65
26926,0.41,0.58
26927,0.34,0.58
26928,0.14,0.48
26929,0.05,0.19
26930,0.74,0.65
26931,0.15,0.59
26932,0.08,0.86
26933,0.06,0.67
26934,0.48,0.84
26935,0.24,0.4
26936,0.47,0.31
26937,0.49,0.93
26938,0.13,0.06
26939,0.03,0.09
26940,0.1,0.3
26941,0.06,0.47
26942,0.74,0.76
26943,0.2,0.76
26944,0.05,0.17
26945,0.08,0.68
26946,0.37,0.54
26947,0.2,0.32
26948,0.06,0.14
26949,0.04,0.09
26950,0.08,0.53
26951,0.03,0.17
26952,0.81,0.74
26953,0.66,0.86
26954,0.06,0.15
26955,0.19,0.79
26956,0.1,0.21
26957,0.07,0.89
26958,0.13,0.65
26959,0.12,0.2
26960,0.03,0.08
26961,0.17,0.36
26962,0.2,0.87
26963,0.17,0.28
26964,0.18,0.14
26965,0.91,0.97
26966,0.06,0.17
26967,0.06,0.23
26968,0.07,0.89
26969,0.18,0.18
26970,0.58,0.69
26971,0.0,0.07
26972,0.03,0.08
26973,0.11,0.25
26974,0.19,0.2
26975,0.17,0.77
26976,0.85,0.6
26977,0.07,0.55
26978,0.05,0.8
26979,0.56,0.88
26980,0.08,0.12
26981,0.22,0.45
26982,0.7,0.76
26983,0.24,0.42
26984,0.06,0.22
26985,0.09,0.16
26986,0.17,0.35
26987,0.05,0.22
26988,0.07,0.11
26989,0.35,0.91
26990,0.02,0.15
26991,0.26,0.56
26992,0.44,0.64
26993,0.14,0.91
26994,0.2,0.35
26995,0.32,0.51
26996,0.29,0.41
26997,0.12,0.13
26998,0.15,0.06
26999,0.47,0.56
27000,0.06,0.4
27001,0.1,0.89
27002,0.02,0.41
27003,0.02,0.1
27004,0.16,0.16
27005,0.57,0.66
27006,0.83,0.85
27007,0.09,0.16
27008,0.22,0.08
27009,0.09,0.31
27010,0.07,0.1
27011,0.28,0.12
27012,0.25,0.59
27013,0.13,0.48
27014,0.11,0.41
27015,0.18,0.16
27016,0.2,0.27
27017,0.47,0.87
27018,0.11,0.21
27019,0.85,1.0
27020,0.16,0.31
27021,0.17,0.54
27022,0.28,0.33
27023,0.23,0.16
27024,0.145,0.45
27025,0.34,0.16
27026,0.18,0.52
27027,0.1,0.84
27028,0.54,0.9
27029,0.11,0.34
27030,0.26,0.29
27031,0.3,0.75
27032,0.26,0.67
27033,0.31,0.65
27034,0.08,0.59
27035,0.05,0.22333333333333333
27036,0.23,0.76
27037,0.41,0.53
27038,0.02,0.04
27039,0.64,0.97
27040,0.27,0.31
27041,0.14,0.64
27042,0.08,0.76
27043,0.26,0.7
27044,0.03,0.09
27045,0.09,0.69
27046,0.08,0.09
27047,0.58,0.4
27048,0.32,0.61
27049,0.46,0.78
27050,0.03,0.62
27051,0.11,0.17
27052,0.14,0.21
27053,0.7,0.92
27054,0.13,0.03
27055,0.08,0.93
27056,0.12,0.09
27057,0.12,0.05
27058,0.83,0.98
27059,0.01,0.04
27060,0.07,0.2
27061,0.16,0.53
27062,0.16,0.4
27063,0.02,0.57
27064,0.22,0.6
27065,0.16,0.49
27066,0.11,0.5
27067,0.62,0.94
27068,0.84,0.93
27069,0.54,0.93
27070,0.1,0.04
27071,0.39,0.11
27072,0.3,0.57
27073,0.08,0.9
27074,0.08,0.38
27075,0.7,0.88
27076,0.5,0.56
27077,0.14,0.2
27078,0.2,0.77
27079,0.51,0.88
27080,0.14,0.33
27081,0.17,0.72
27082,0.34,0.46
27083,0.02,0.33
27084,0.78,0.71
27085,0.04,0.04
27086,0.05,0.12
27087,0.38,0.3
27088,0.32,0.56
27089,0.31,0.18
27090,0.27,0.74
27091,0.55,0.4
27092,0.14,0.23
27093,0.24,0.17
27094,0.0,0.12
27095,0.21,0.85
27096,0.11,0.28
27097,0.58,0.72
27098,0.62,0.77
27099,0.12,0.44
27100,0.2,0.76
27101,0.21,0.63
27102,0.17,0.7
27103,0.01,0.14
27104,0.23,0.59
27105,0.23,0.54
27106,0.66,0.89
27107,0.59,0.64
27108,0.09,0.17
27109,0.07,0.12
27110,0.1,0.52
27111,0.06,0.5
27112,0.34,0.68
27113,0.06,0.08
27114,0.04,0.12
27115,0.5,0.8
27116,0.25,0.92
27117,0.11,0.13
27118,0.21,0.56
27119,0.13,0.18
27120,0.24,0.96
27121,0.02,0.86
27122,0.13,0.42
27123,0.18,0.35
27124,0.12,0.32
27125,0.05,0.16
27126,0.33,0.22
27127,0.13,0.13
27128,0.1,0.41
27129,0.39,0.56
27130,0.13,0.35
27131,0.12,0.08
27132,0.42,0.97
27133,0.13,0.64
27134,0.69,0.98
27135,0.32,0.72
27136,0.04,0.5
27137,0.11,0.26
27138,0.28,0.54
27139,0.17,0.22
27140,0.9,0.97
27141,0.57,0.8
27142,0.06,0.23
27143,0.38,0.3
27144,0.07,0.18
27145,0.6,0.7
27146,0.1,0.84
27147,0.08,0.37
27148,0.11,0.1
27149,0.23,0.17
27150,0.55,0.86
27151,0.21,0.76
27152,0.12,0.19
27153,0.11,0.89
27154,0.78,0.86
27155,0.15,0.82
27156,0.03,0.13
27157,0.02,0.69
27158,0.07,0.32
27159,0.02,0.14
27160,0.42,0.42
27161,0.32,0.7
27162,0.14,0.85
27163,0.71,0.72
27164,0.4,0.28
27165,0.58,0.65
27166,0.31,0.22
27167,0.18,0.6
27168,0.18,0.77
27169,0.32,0.25
27170,0.33,0.76
27171,0.06,0.29
27172,0.07,0.8
27173,0.27,0.47
27174,0.11,0.29
27175,0.04,0.13
27176,0.6,0.95
27177,0.75,0.79
27178,0.07,0.45
27179,0.06,0.32
27180,0.28,0.42
27181,0.09,0.67
27182,0.58,0.9
27183,0.07,0.81
27184,0.03,0.43
27185,0.57,0.83
27186,0.17,0.78
27187,0.17,0.34
27188,0.06,0.33
27189,0.17,0.63
27190,0.62,0.82
27191,0.2,0.88
27192,0.39,0.81
27193,0.04,0.17
27194,0.37,0.5
27195,0.03,0.28
27196,0.41,0.2
27197,0.15,0.7
27198,0.87,0.95
27199,0.04,0.37
27200,0.32,0.7
27201,0.6,0.91
27202,0.12,0.18
27203,0.06,0.25
27204,0.01,0.02
27205,0.1,0.19
27206,0.13,0.24
27207,0.1,0.15
27208,0.57,0.66
27209,0.22,0.14
27210,0.34,0.28
27211,0.18,0.3
27212,0.64,0.84
27213,0.53,0.57
27214,0.04,0.15
27215,0.22,0.71
27216,0.17,0.82
27217,0.11,0.41
27218,0.4,0.9
27219,0.6,0.43
27220,0.4,0.46
27221,0.19,0.81
27222,0.22,0.52
27223,0.13,0.75
27224,0.13,0.66
27225,0.21,0.3
27226,0.05,0.27
27227,0.17,0.11
27228,0.55,0.91
27229,0.52,0.85
27230,0.23,0.94
27231,0.53,0.81
27232,0.08,0.64
27233,0.51,0.51
