iter	Logloss
0	0.6745672333
1	0.6567373007
2	0.6416059592
3	0.6272050611
4	0.6132933099
5	0.6012934073
6	0.5903961226
7	0.5807943324
8	0.5720478641
9	0.563592989
10	0.5551893701
11	0.5483612449
12	0.541219772
13	0.5354116728
14	0.529898283
15	0.5238067427
16	0.518958889
17	0.5146654602
18	0.5100149835
19	0.5056625373
20	0.5017754538
21	0.4984619399
22	0.4950138983
23	0.4917546126
24	0.4888040025
25	0.4854985072
26	0.4832250315
27	0.4807937199
28	0.4778961796
29	0.4753845948
30	0.4731714629
31	0.4711641865
32	0.4693510125
33	0.4675492537
34	0.465756511
35	0.4638654468
36	0.4616884326
37	0.4597943395
38	0.4584581719
39	0.4573138109
40	0.4559255522
41	0.4548723848
42	0.4536069054
43	0.4527945304
44	0.4516216244
45	0.4507140374
46	0.4496198194
47	0.4486125127
48	0.447622807
49	0.4467558153
50	0.4460117516
51	0.4450945426
52	0.4444434915
53	0.4435736852
54	0.4427160009
55	0.4418439331
56	0.4410827901
57	0.4403748591
58	0.4396549945
59	0.4389890043
60	0.4381804363
61	0.4376238431
62	0.4369836572
63	0.4362675072
64	0.4357324326
65	0.4352241523
66	0.4346627182
67	0.4341915577
68	0.4338187136
69	0.4334701218
70	0.4329107538
71	0.4324160504
72	0.4318868544
73	0.4315467558
74	0.4309235814
75	0.4304734781
76	0.42996056
77	0.4295198848
78	0.4290152678
79	0.4286509161
80	0.4282687144
81	0.4279658279
82	0.4275183739
83	0.4271266986
84	0.4267000314
85	0.4263484526
86	0.4260110239
87	0.4256037353
88	0.4252642
89	0.4249874694
90	0.4246233351
91	0.4242866616
92	0.4240585645
93	0.4236753286
94	0.4232707672
95	0.423009897
96	0.4227286707
97	0.4223884079
98	0.4221613707
99	0.4218681789
100	0.4216066689
101	0.4211336287
102	0.4208817266
103	0.4206348446
104	0.4204016883
105	0.4200895877
106	0.4198663493
107	0.4195667651
108	0.4193468996
109	0.4191361388
110	0.4189861255
111	0.4187171674
112	0.4184257265
113	0.418252907
114	0.4180325591
115	0.4178091899
116	0.4175575154
117	0.4173201988
118	0.417049662
119	0.4167795411
120	0.4166249109
121	0.4164250184
122	0.41610877
123	0.415924031
124	0.4157460932
125	0.4154617366
126	0.415209343
127	0.4149985404
128	0.4147522337
129	0.414573694
130	0.4141953737
131	0.4139835864
132	0.4137659094
133	0.4135560577
134	0.4134126749
135	0.4132311589
136	0.4129037272
137	0.4127659948
138	0.4125101608
139	0.4123089265
140	0.4120815619
141	0.411914699
142	0.4117347649
143	0.4115312368
144	0.41136861
145	0.4111793799
146	0.4110004674
147	0.4108477634
148	0.4104938631
149	0.4102780532
150	0.4100924746
151	0.4098025906
152	0.4095577497
153	0.4093147714
154	0.4091901638
155	0.4090582722
156	0.4087693511
157	0.4085840549
158	0.4084099907
159	0.4082458274
160	0.4081370113
161	0.4079377242
162	0.4077138886
163	0.4075228671
164	0.4073482164
165	0.4072287527
166	0.4070668774
167	0.4069428123
168	0.4067629377
169	0.4066593665
170	0.4064460342
171	0.4062830947
172	0.4061153679
173	0.4059925023
174	0.4058108665
175	0.4057010912
176	0.4055025868
177	0.4053261938
178	0.405189948
179	0.4050113106
180	0.4048439923
181	0.4046477419
182	0.404426031
183	0.4042389136
184	0.4040321314
185	0.4038800227
186	0.4037214401
187	0.4035744363
188	0.4034197853
189	0.4032599812
190	0.4031548414
191	0.403006181
192	0.4028883
193	0.402781651
194	0.4026896318
195	0.4025289664
196	0.4023426419
197	0.4022312924
198	0.402074011
199	0.4019633886
200	0.4018450361
201	0.4017180136
202	0.4016573515
203	0.4014710848
204	0.4012793831
205	0.4010898126
206	0.4008982527
207	0.4007623162
208	0.4005423617
209	0.4003861979
210	0.4002718469
211	0.4001416206
212	0.400005995
213	0.3998441369
214	0.3997099377
215	0.3995674718
216	0.3994690147
217	0.3993896043
218	0.3992351367
219	0.3990328671
220	0.3988954434
221	0.3987221714
222	0.3986080182
223	0.3983481314
224	0.3982443939
225	0.3980830503
226	0.3979086644
227	0.3977697975
228	0.3976590352
229	0.3975682951
230	0.3974566053
231	0.3973338698
232	0.397176872
233	0.3969787558
234	0.3968942523
235	0.3967494355
236	0.396587064
237	0.3964761708
238	0.3963796172
239	0.396245843
240	0.3961360803
241	0.3960238616
242	0.3958828904
243	0.3957171395
244	0.395630412
245	0.3954852588
246	0.3953549628
247	0.3952617724
248	0.3951882835
249	0.3950459871
250	0.3949363842
251	0.39483971
252	0.3946730314
253	0.3945334254
254	0.3943829716
255	0.3942321744
256	0.3940933917
257	0.3939735434
258	0.3938871018
259	0.3936296774
260	0.3934900163
261	0.3933847132
262	0.3932402046
263	0.3931351495
264	0.3929565766
265	0.392822552
266	0.3926794284
267	0.3925397072
268	0.3923868791
269	0.3922185053
270	0.3920862661
271	0.391948649
272	0.391764328
273	0.3916289946
274	0.391457773
275	0.391327864
276	0.3911122238
277	0.3909948076
278	0.3908435002
279	0.390702504
280	0.3906037215
281	0.3904349083
282	0.3903210692
283	0.3901789033
284	0.38999537
285	0.3898594811
286	0.3897183845
287	0.3895640613
288	0.3893917764
289	0.3892359641
290	0.3890411322
291	0.3888966774
292	0.3887258027
293	0.3885911056
294	0.3884765895
295	0.3883786201
296	0.3882892972
297	0.3881796709
298	0.3880097258
299	0.3878884494
300	0.3877922318
301	0.3876313341
302	0.3874737259
303	0.3873174415
304	0.3871095572
305	0.3869894363
306	0.3868348452
307	0.386722264
308	0.3865176828
309	0.3863239032
310	0.3861781371
311	0.3860208504
312	0.3858917556
313	0.3856726644
314	0.3855245763
315	0.3853403471
316	0.3851560629
317	0.3850609165
318	0.3849173633
319	0.3848344904
320	0.384670272
321	0.3844625994
322	0.3842955294
323	0.3841809313
324	0.3840696358
325	0.3839414695
326	0.3838261682
327	0.3836164207
328	0.3835107231
329	0.3834013706
330	0.3833081907
331	0.3831114361
332	0.382989304
333	0.3828888385
334	0.3827511803
335	0.3826518791
336	0.3824914439
337	0.3823227085
338	0.3821562818
339	0.3819755698
340	0.38176062
341	0.3816046077
342	0.3814686656
343	0.3813360242
344	0.3811555195
345	0.3810063
346	0.380845661
347	0.3806978276
348	0.3805479615
349	0.3804593181
350	0.3803104722
351	0.3801777028
352	0.3800004805
353	0.3798327931
354	0.3796819408
355	0.3794924725
356	0.3793543324
357	0.3791777738
358	0.3790140229
359	0.3788211382
360	0.3786929913
361	0.3785782555
362	0.3784733048
363	0.37830764
364	0.3781825469
365	0.3780200504
366	0.3778522473
367	0.3776815322
368	0.3775202443
369	0.3773340044
370	0.3771888642
371	0.377034811
372	0.3768872841
373	0.3767307443
374	0.3765567063
375	0.3763798208
376	0.3762760565
377	0.3761363084
378	0.375974605
379	0.3758389506
380	0.3757293426
381	0.3755921371
382	0.3754860778
383	0.3753649863
384	0.3751798838
385	0.3750665006
386	0.3749499322
387	0.3748424596
388	0.3747282082
389	0.3746057762
390	0.3745085609
391	0.3744071768
392	0.3743047829
393	0.3742035038
394	0.3741373506
395	0.374018333
396	0.3738573287
397	0.3736788865
398	0.3735246374
399	0.3733453756
400	0.3731888654
401	0.3730779327
402	0.372908784
403	0.3727633916
404	0.372634514
405	0.3724626508
406	0.3723225429
407	0.372201832
408	0.3720940282
409	0.3719389593
410	0.3718573317
411	0.3716897228
412	0.3715685371
413	0.3714610345
414	0.371295185
415	0.3711566344
416	0.3710582795
417	0.3709192554
418	0.3707799733
419	0.3706898396
420	0.3705795328
421	0.3704695231
422	0.3703316057
423	0.3702789271
424	0.3701793326
425	0.3700492641
426	0.3699284194
427	0.3698364618
428	0.369700266
429	0.3695704939
430	0.3694222902
431	0.3693214963
432	0.3692043336
433	0.3690764102
434	0.3689470739
435	0.3687970291
436	0.3686782743
437	0.3685127149
438	0.3683446473
439	0.3682092512
440	0.3680949762
441	0.3679119869
442	0.367798212
443	0.3676883819
444	0.367505156
445	0.3673819404
446	0.3672508107
447	0.3671492601
448	0.3670384347
449	0.3668637219
450	0.3667450523
451	0.3666521402
452	0.3665639562
453	0.3664485036
454	0.3663431249
455	0.3662484243
456	0.3660968925
457	0.3660086515
458	0.3659369368
459	0.3658346809
460	0.3657282866
461	0.365676413
462	0.3655545014
463	0.3654305246
464	0.365305537
465	0.365203693
466	0.3650984276
467	0.3649846463
468	0.3648338112
469	0.3646823961
470	0.36453633
471	0.3644238769
472	0.3643393717
473	0.3641938284
474	0.364088221
475	0.3639276658
476	0.3638217261
477	0.3637070644
478	0.3635726049
479	0.3634670536
480	0.3632974939
481	0.3632363047
482	0.3631491207
483	0.3630304957
484	0.3629361196
485	0.3627853479
486	0.3626337775
487	0.3625175558
488	0.362394414
489	0.3622830106
490	0.3621512774
491	0.362021344
492	0.3619445807
493	0.3618700587
494	0.3617950472
495	0.3617074508
496	0.361573473
497	0.3614096057
498	0.361328536
499	0.3612148706
500	0.3610819292
501	0.3609789158
502	0.3608537574
503	0.3607571444
504	0.360621192
505	0.360457428
506	0.3603609818
507	0.3601904327
508	0.3601049788
509	0.3599531661
510	0.3598950224
511	0.3598254821
512	0.3596830992
513	0.3595814997
514	0.3594603879
515	0.3592980245
516	0.359212419
517	0.3591072873
518	0.3589868411
519	0.3588755157
520	0.358713037
521	0.3586103652
522	0.3584808834
523	0.3584518324
524	0.3583762393
525	0.3582420896
526	0.3581097826
527	0.3579627198
528	0.3578423271
529	0.3577245927
530	0.3576091361
531	0.3574490041
532	0.3573353286
533	0.3572088649
534	0.3570954042
535	0.3569743796
536	0.356821365
537	0.3567003305
538	0.3565671021
539	0.3564272382
540	0.3562978227
541	0.356122942
542	0.3559963501
543	0.3559011996
544	0.3557729093
545	0.355646865
546	0.3555384615
547	0.3554355332
548	0.3553384052
549	0.3552113984
550	0.3551218112
551	0.3549858344
552	0.3548981211
553	0.3548081219
554	0.3547280138
555	0.3546087918
556	0.3545235908
557	0.3544122993
558	0.3542766508
559	0.3542146295
560	0.3540552217
561	0.3539807034
562	0.3538760448
563	0.3538013668
564	0.3536396659
565	0.3535039132
566	0.3534126433
567	0.3533358967
568	0.35322679
569	0.3531236784
570	0.3530183288
571	0.3529554356
572	0.3528059936
573	0.3527319224
574	0.3526016012
575	0.3525222765
576	0.3523978981
577	0.352276654
578	0.3521314579
579	0.3520048362
580	0.3519259733
581	0.3518344484
582	0.3517228372
583	0.351627694
584	0.3515476436
585	0.3514083847
586	0.3513280074
587	0.3511901573
588	0.3510849196
589	0.3509945878
590	0.3509163578
591	0.3508610407
592	0.3507452259
593	0.3506568454
594	0.3505574139
595	0.3504536755
596	0.3503784075
597	0.3502773976
598	0.3501293758
599	0.3499904095
600	0.3499159924
601	0.3498647594
602	0.3497160352
603	0.3496474388
604	0.3495222892
605	0.349378652
606	0.3492193778
607	0.3490697295
608	0.3489709391
609	0.3488547831
610	0.348728635
611	0.3486249483
612	0.3484936277
613	0.3484212815
614	0.3482935296
615	0.3482521536
616	0.348174496
617	0.3480990153
618	0.3480142326
619	0.347902846
620	0.3477708568
621	0.3476704315
622	0.3475957876
623	0.3474908345
624	0.3474520281
625	0.3473682727
626	0.3472767777
627	0.3471894938
628	0.3470724219
629	0.3469431267
