iter	Passed	Remaining
0	72	72826
1	84	42144
2	96	32087
3	116	28942
4	128	25530
5	138	22889
6	155	22083
7	275	34110
8	314	34666
9	330	32768
10	346	31171
11	400	32968
12	418	31748
13	458	32268
14	480	31530
15	497	30577
16	550	31852
17	568	31040
18	596	30798
19	628	30793
20	645	30075
21	659	29313
22	673	28606
23	687	27942
24	701	27353
25	715	26820
26	736	26523
27	768	26690
28	786	26339
29	806	26069
30	820	25650
31	835	25268
32	849	24900
33	871	24771
34	890	24551
35	905	24254
36	923	24028
37	946	23969
38	960	23664
39	978	23479
40	1001	23436
41	1023	23353
42	1057	23536
43	1080	23474
44	1106	23491
45	1143	23725
46	1159	23517
47	1175	23322
48	1195	23195
49	1209	22984
50	1224	22790
51	1236	22545
52	1254	22410
53	1300	22777
54	1320	22696
55	1336	22524
56	1353	22398
57	1385	22506
58	1405	22418
59	1450	22729
60	1474	22703
61	1499	22686
62	1528	22726
63	1544	22584
64	1560	22443
65	1575	22295
66	1598	22259
67	1617	22168
68	1635	22069
69	1653	21968
70	1667	21817
71	1689	21775
72	1701	21608
73	1715	21462
74	1727	21307
75	1740	21162
76	1768	21196
77	1779	21040
78	1804	21038
79	1824	20981
80	1860	21103
81	1902	21301
82	1927	21299
83	2020	22028
84	2034	21902
85	2055	21847
86	2071	21741
87	2095	21712
88	2113	21633
89	2130	21541
90	2145	21431
91	2156	21279
92	2165	21120
93	2176	20982
94	2194	20906
95	2206	20777
96	2223	20699
97	2236	20587
98	2252	20504
99	2266	20396
100	2279	20292
101	2292	20183
102	2303	20061
103	2313	19928
104	2325	19824
105	2337	19714
106	2350	19617
107	2361	19506
108	2371	19384
109	2386	19310
110	2405	19266
111	2429	19261
112	2446	19201
113	2464	19156
114	2482	19101
115	2496	19025
116	2512	18958
117	2531	18923
118	2547	18856
119	2562	18788
120	2575	18708
121	2593	18662
122	2607	18593
123	2624	18542
124	2636	18454
125	2648	18370
126	2658	18275
127	2668	18178
128	2679	18094
129	2690	18007
130	2700	17915
131	2712	17834
132	2726	17771
133	2744	17737
134	2759	17678
135	2797	17770
136	2814	17730
137	2900	18118
138	2926	18129
139	2939	18057
140	2949	17967
141	2961	17892
142	2972	17816
143	2984	17739
144	2996	17670
145	3011	17617
146	3038	17633
147	3048	17549
148	3060	17478
149	3074	17424
150	3087	17357
151	3100	17294
152	3117	17257
153	3130	17196
154	3142	17133
155	3156	17074
156	3169	17017
157	3188	16990
158	3202	16938
159	3216	16884
160	3225	16809
161	3236	16741
162	3248	16681
163	3259	16613
164	3269	16544
165	3279	16478
166	3290	16415
167	3303	16359
168	3315	16304
169	3331	16266
170	3353	16255
171	3374	16243
172	3395	16233
173	3412	16198
174	3432	16181
175	3451	16158
176	3473	16151
177	3493	16132
178	3508	16093
179	3523	16051
180	3540	16019
181	3555	15981
182	3581	15987
183	3615	16031
184	3636	16022
185	3669	16059
186	3707	16117
187	3735	16134
188	3759	16131
189	3783	16129
190	3825	16201
191	3847	16192
192	3863	16152
193	3895	16185
194	3910	16145
195	3929	16118
196	3946	16087
197	3983	16133
198	4120	16586
199	4140	16560
200	4159	16534
201	4177	16504
202	4195	16471
203	4213	16442
204	4225	16387
205	4236	16329
206	4247	16273
207	4259	16217
208	4271	16167
209	4282	16108
210	4293	16054
211	4307	16010
212	4319	15958
213	4336	15926
214	4347	15874
215	4357	15815
216	4368	15761
217	4380	15712
218	4391	15661
219	4401	15604
220	4411	15549
221	4422	15499
222	4433	15447
223	4444	15397
224	4454	15344
225	4466	15296
226	4478	15249
227	4494	15218
228	4509	15182
229	4521	15135
230	4532	15089
231	4542	15037
232	4554	14992
233	4574	14975
234	4585	14925
235	4596	14879
236	4615	14858
237	4689	15015
238	4714	15011
239	4782	15145
240	4794	15098
241	4804	15050
242	4815	15000
243	4827	14958
244	4841	14921
245	4854	14880
246	4865	14832
247	4876	14787
248	4891	14751
249	4900	14702
250	4912	14657
251	4923	14614
252	4937	14577
253	4948	14532
254	4958	14485
255	4969	14443
256	4982	14406
257	4996	14369
258	5008	14328
259	5017	14281
260	5027	14234
261	5042	14204
262	5056	14168
263	5071	14139
264	5083	14099
265	5094	14058
266	5104	14014
267	5114	13968
268	5125	13928
269	5136	13887
270	5146	13844
271	5156	13800
272	5167	13762
273	5178	13720
274	5194	13693
275	5205	13654
276	5214	13611
277	5225	13571
278	5242	13548
279	5256	13517
280	5269	13482
281	5281	13446
282	5292	13408
283	5303	13369
284	5314	13331
285	5326	13296
286	5337	13260
287	5350	13226
288	5367	13204
289	5379	13170
290	5392	13138
291	5403	13100
292	5426	13094
293	5442	13069
294	5458	13044
295	5473	13017
296	5485	12984
297	5503	12965
298	5518	12936
299	5586	13036
300	5612	13033
301	5637	13030
302	5691	13092
303	5705	13061
304	5716	13026
305	5726	12987
306	5740	12958
307	5753	12926
308	5763	12889
309	5777	12860
310	5801	12852
311	5817	12827
312	5839	12817
313	5867	12817
314	5902	12835
315	5921	12818
316	5935	12788
317	5949	12759
318	5961	12725
319	5984	12716
320	6005	12703
321	6041	12720
322	6071	12726
323	6097	12722
324	6120	12711
325	6151	12717
326	6165	12688
327	6178	12658
328	6196	12638
329	6208	12604
330	6220	12573
331	6233	12541
332	6242	12503
333	6253	12469
334	6264	12436
335	6276	12402
336	6286	12367
337	6304	12347
338	6322	12327
339	6374	12374
340	6413	12394
341	6435	12381
342	6449	12353
343	6462	12324
344	6477	12297
345	6491	12270
346	6506	12243
347	6518	12213
348	6531	12183
349	6546	12157
350	6560	12131
351	6572	12099
352	6596	12090
353	6641	12119
354	6679	12136
355	6699	12119
356	6731	12124
357	6743	12093
358	6757	12066
359	6771	12037
360	6781	12004
361	6793	11973
362	6805	11942
363	6817	11911
364	6829	11880
365	6838	11846
366	6850	11815
367	6861	11784
368	6872	11752
369	6882	11719
370	6893	11687
371	6903	11654
372	6915	11624
373	6925	11592
374	6937	11561
375	6949	11533
376	6972	11522
377	6988	11499
378	7024	11510
379	7042	11490
380	7059	11469
381	7076	11448
382	7095	11430
383	7105	11398
384	7117	11369
385	7127	11338
386	7141	11311
387	7151	11280
388	7163	11251
389	7173	11220
390	7184	11189
391	7194	11158
392	7205	11128
393	7216	11098
394	7230	11074
395	7260	11074
396	7283	11062
397	7335	11095
398	7364	11092
399	7382	11074
400	7402	11057
401	7436	11061
402	7454	11043
403	7471	11022
404	7482	10992
405	7493	10962
406	7504	10933
407	7517	10908
408	7528	10878
409	7545	10858
410	7556	10829
411	7566	10798
412	7578	10771
413	7589	10742
414	7599	10712
415	7609	10682
416	7626	10661
417	7636	10632
418	7648	10606
419	7662	10581
420	7678	10560
421	7691	10535
